,location,total_sqft,bath,price,bhk
6049,Gubbalala,1008.0,2.0,32.25,2.0
6050,other,1200.0,2.0,52.5,2.0
6053,Electronic City,660.0,1.0,15.5,2.0
6056,Yelahanka,1405.0,2.0,50.58,2.0
6057,Yelahanka,602.0,1.0,26.0,1.0
6058,Marathahalli,1710.0,3.0,100.0,3.0
6059,JP Nagar,1500.0,2.0,82.0,3.0
6060,other,1539.0,3.0,60.0,3.0
6062,Judicial Layout,1100.0,2.0,53.0,3.0
6063,Raja Rajeshwari Nagar,1151.0,2.0,49.0,2.0
6064,other,920.0,2.0,46.0,2.0
6065,Kathriguppe,1350.0,3.0,78.3,3.0
6066,Bannerghatta Road,1200.0,2.0,65.0,2.0
6067,Thanisandra,1265.0,2.0,78.0,2.0
6069,Sarjapur  Road,1700.0,3.0,93.5,3.0
6070,Ramamurthy Nagar,1600.0,3.0,75.0,3.0
6071,other,1550.0,4.0,120.0,4.0
6072,R.T. Nagar,1560.0,3.0,125.0,3.0
6074,Haralur Road,1243.0,2.0,46.0,2.0
6076,Sarjapur  Road,1403.0,3.0,56.0,3.0
6077,Doddakallasandra,1010.0,2.0,40.39,2.0
6078,Tumkur Road,1416.0,3.0,94.0,3.0
6079,Kanakpura Road,1628.0,2.0,68.0,2.0
6081,7th Phase JP Nagar,1680.0,3.0,125.0,3.0
6082,Doddathoguru,1595.0,3.0,62.0,3.0
6083,Kanakpura Road,1507.0,2.0,95.0,3.0
6085,Hennur Road,1949.0,3.0,133.0,3.0
6087,Electronic City Phase II,1000.0,2.0,28.88,2.0
6088,other,905.0,2.0,50.0,2.0
6089,Hosakerehalli,2480.0,3.0,245.0,3.0
6091,Kaikondrahalli,1605.0,3.0,105.0,3.0
6092,Bommanahalli,1290.0,2.0,73.0,2.0
6093,Yelahanka,1100.0,2.0,60.0,2.0
6094,Vishveshwarya Layout,2100.0,6.0,92.0,6.0
6095,Electronics City Phase 1,995.0,2.0,49.8,2.0
6098,Gottigere,1425.0,2.0,47.0,3.0
6099,other,1455.0,2.0,55.0,3.0
6100,other,550.0,1.0,23.0,1.0
6101,Uttarahalli,1385.0,2.0,48.48,3.0
6102,Vishveshwarya Layout,7000.0,4.0,210.0,4.0
6103,other,4000.0,3.0,130.0,5.0
6104,other,1060.0,2.0,53.0,2.0
6105,other,1080.0,2.0,75.0,3.0
6106,HBR Layout,1783.0,3.0,125.0,3.0
6107,Haralur Road,1520.0,2.0,90.0,3.0
6108,Sarjapur  Road,1060.0,2.0,55.0,2.0
6109,Raja Rajeshwari Nagar,1267.0,2.0,54.35,2.0
6110,Whitefield,1155.0,2.0,55.0,2.0
6111,Karuna Nagar,2500.0,3.0,180.0,3.0
6112,Bannerghatta Road,1240.0,2.0,65.0,2.0
6113,other,1570.0,3.0,78.0,3.0
6114,NGR Layout,1019.0,2.0,45.9,2.0
6115,Whitefield,1355.0,3.0,76.0,2.0
6116,other,1537.0,3.0,110.0,3.0
6117,Whitefield,4075.0,5.0,226.0,4.0
6118,Raja Rajeshwari Nagar,1550.0,3.0,52.45,3.0
6119,Raja Rajeshwari Nagar,1100.0,2.0,50.0,2.0
6120,other,1750.0,3.0,150.0,3.0
6121,9th Phase JP Nagar,1466.0,2.0,71.0,2.0
6122,Rachenahalli,1550.0,3.0,72.5,3.0
6123,Akshaya Nagar,2300.0,4.0,102.0,3.0
6124,Kengeri,540.0,1.0,22.5,1.0
6127,other,1020.0,2.0,48.0,2.0
6129,Hebbal,1987.0,4.0,165.0,3.0
6130,Hoodi,1305.0,2.0,75.0,2.0
6131,Sarjapur,2100.0,3.0,125.0,4.0
6132,Electronic City,1125.0,2.0,32.5,2.0
6133,Horamavu Banaswadi,1225.0,2.0,49.5,2.0
6134,Hennur,1255.0,2.0,55.5,2.0
6135,other,1191.0,2.0,90.0,2.0
6136,Uttarahalli,3600.0,6.0,303.0,6.0
6137,Electronic City,1165.0,2.0,33.64,2.0
6138,other,865.0,2.0,35.11,2.0
6139,Nagarbhavi,1850.0,2.0,88.0,3.0
6141,Hennur Road,1232.0,2.0,89.0,2.0
6142,Thanisandra,1732.0,3.0,85.73,3.0
6143,Yelahanka,1614.0,2.0,100.0,3.0
6144,Magadi Road,600.0,1.0,22.0,2.0
6145,Thigalarapalya,2072.0,4.0,155.0,3.0
6146,Electronic City,919.0,2.0,34.0,2.0
6147,other,2100.0,4.0,90.0,4.0
6151,other,2849.0,5.0,250.0,4.0
6152,other,1000.0,2.0,42.0,2.0
6153,Whitefield,1216.0,2.0,75.0,2.0
6154,Lingadheeranahalli,2245.0,4.0,154.0,4.0
6155,Bannerghatta Road,1476.0,3.0,125.0,3.0
6156,Ambedkar Nagar,1852.0,3.0,130.0,3.0
6157,other,1225.0,2.0,47.0,2.0
6158,Panathur,1597.0,3.0,67.12,3.0
6159,Jakkur,2423.0,4.0,160.0,3.0
6160,Marathahalli,1152.0,2.0,90.0,2.0
6161,Harlur,1762.0,3.0,133.0,3.0
6162,Kammasandra,1400.0,3.0,92.0,3.0
6163,Rachenahalli,1530.0,2.0,74.4,3.0
6165,Raja Rajeshwari Nagar,1185.0,2.0,40.17,2.0
6166,Yelahanka,1890.0,3.0,108.0,3.0
6167,Varthur Road,1247.0,2.0,58.0,3.0
6170,Bellandur,1201.0,2.0,59.99,2.0
6171,other,830.0,2.0,40.0,2.0
6172,Electronic City Phase II,1165.0,2.0,30.29,2.0
6173,Bommanahalli,1100.0,1.0,55.0,2.0
6174,9th Phase JP Nagar,1890.0,2.0,93.0,3.0
6175,other,1685.0,3.0,60.0,3.0
6177,Battarahalli,1165.0,2.0,43.0,2.0
6178,other,827.0,2.0,45.0,2.0
6181,Electronics City Phase 1,635.0,1.0,26.0,1.0
6182,Whitefield,4000.0,4.0,380.0,4.0
6183,other,1050.0,2.0,50.0,2.0
6185,Jakkur,1819.18,3.0,168.0,3.0
6186,Kanakapura,1500.0,3.0,125.0,3.0
6187,Yelenahalli,1500.0,2.0,57.0,3.0
6189,Raja Rajeshwari Nagar,1751.0,3.0,72.0,3.0
6191,Bommasandra,1020.0,2.0,40.89,2.0
6192,Thanisandra,1148.0,2.0,43.5,2.0
6193,Talaghattapura,1856.0,3.0,135.0,3.0
6196,other,1060.0,2.0,49.27,2.0
6197,Haralur Road,1300.0,2.0,60.0,2.0
6198,Hormavu,3000.0,4.0,100.0,4.0
6199,Bellandur,1325.0,2.0,65.0,2.0
6200,other,1261.0,2.0,61.0,2.0
6201,other,1100.0,2.0,46.0,2.0
6202,Ramamurthy Nagar,700.0,2.0,33.0,2.0
6203,7th Phase JP Nagar,1675.0,2.0,135.0,3.0
6204,other,3400.0,4.0,190.0,4.0
6206,other,1180.0,2.0,56.0,2.0
6207,Uttarahalli,1160.0,2.0,45.0,2.0
6208,Kasavanhalli,1863.0,3.0,105.0,4.0
6209,Sahakara Nagar,1914.0,3.0,149.0,3.0
6210,BTM Layout,1458.0,3.0,79.0,3.0
6212,Babusapalaya,1105.0,2.0,40.0,2.0
6213,Hulimavu,3035.0,5.0,220.0,3.0
6215,Akshaya Nagar,1662.0,3.0,90.0,3.0
6216,Yelahanka,1556.0,3.0,86.0,3.0
6217,Jigani,918.0,2.0,50.0,2.0
6218,Sarjapur  Road,1455.0,2.0,98.0,3.0
6219,other,1205.0,2.0,70.0,2.0
6220,BEML Layout,1194.0,2.0,65.0,2.0
6221,Laggere,1200.0,2.0,75.0,2.0
6222,Bannerghatta Road,1100.0,2.0,52.0,3.0
6223,Sarjapur  Road,1405.0,3.0,48.87,3.0
6224,Subramanyapura,929.0,2.0,56.0,2.0
6225,Frazer Town,3436.0,5.0,341.0,4.0
6226,7th Phase JP Nagar,1035.0,2.0,39.33,2.0
6227,8th Phase JP Nagar,2100.0,4.0,92.0,4.0
6228,Channasandra,1065.0,2.0,40.47,2.0
6229,Bannerghatta Road,1532.5,3.0,84.29,3.0
6232,Hormavu,1093.0,2.0,32.78,2.0
6233,Anandapura,1250.0,2.0,45.0,2.0
6234,Marathahalli,1680.0,3.0,105.0,3.0
6235,Nagarbhavi,1146.0,2.0,50.0,2.0
6236,other,1250.0,2.0,58.0,2.0
6237,Ramagondanahalli,1451.0,3.0,60.44,3.0
6238,other,1424.0,2.0,55.0,3.0
6239,Gottigere,1435.0,2.0,62.0,3.0
6240,Devanahalli,658.0,1.0,26.91,1.0
6241,Bommanahalli,1300.0,3.0,45.0,3.0
6242,Whitefield,1242.0,2.0,65.0,2.0
6243,Marathahalli,1910.0,3.0,119.0,3.0
6244,Yelahanka,1610.0,4.0,85.0,3.0
6245,Hulimavu,1127.0,2.0,65.0,2.0
6246,Yelahanka,1075.0,2.0,42.0,3.0
6247,Mysore Road,1155.0,2.0,51.0,2.0
6249,other,1250.0,3.0,55.0,3.0
6250,other,2200.0,4.0,160.0,3.0
6251,Billekahalli,2400.0,3.0,150.0,3.0
6252,Chandapura,876.0,2.0,29.5,2.0
6253,Nagarbhavi,1850.0,2.0,89.0,3.0
6254,Kadugodi,1314.0,2.0,83.0,2.0
6255,Rachenahalli,690.0,1.0,39.8,1.0
6256,Electronic City Phase II,3550.0,2.0,167.5,4.0
6257,other,1230.0,2.0,55.0,2.0
6258,Bommasandra,920.0,2.0,37.2,2.0
6259,Sarjapur  Road,1850.0,3.0,140.0,3.0
6260,Electronic City,1073.0,2.0,60.0,2.0
6261,other,1540.0,3.0,76.0,3.0
6262,Kanakpura Road,1550.0,3.0,63.5,3.0
6263,Kalyan nagar,1198.0,2.0,65.0,2.0
6264,HBR Layout,1656.0,3.0,90.0,3.0
6265,other,1900.0,3.0,155.0,3.0
6266,Ramagondanahalli,1910.0,3.0,142.0,3.0
6267,Mysore Road,1003.0,2.0,43.0,2.0
6269,Whitefield,1495.0,2.0,67.0,3.0
6270,Thanisandra,2172.0,3.0,76.02,3.0
6272,other,1200.0,1.0,95.0,2.0
6273,Whitefield,1548.0,3.0,65.0,3.0
6275,Whitefield,2856.0,5.0,154.5,4.0
6276,Hosur Road,1689.0,3.0,103.0,3.0
6277,Electronic City Phase II,1031.0,2.0,53.0,2.0
6278,Bhoganhalli,2119.0,4.0,111.0,4.0
6279,Whitefield,1200.0,2.0,46.13,2.0
6280,other,1060.0,2.0,37.0,2.0
6281,other,1100.0,2.0,61.0,2.0
6284,Hennur Road,1250.0,2.0,77.88,3.0
6286,Whitefield,1200.0,2.0,46.13,2.0
6287,Seegehalli,1420.0,2.0,46.0,3.0
6288,Electronic City,1500.0,2.0,78.0,3.0
6289,other,1942.0,3.0,155.0,3.0
6290,Haralur Road,1985.0,3.0,130.0,3.0
6291,Sarjapur  Road,950.0,1.0,39.9,1.0
6292,other,1200.0,4.0,80.0,3.0
6293,Green Glen Layout,1752.0,3.0,105.0,3.0
6294,Abbigere,1200.0,3.0,120.0,4.0
6296,Old Madras Road,1480.0,2.0,84.0,3.0
6298,Sarjapur  Road,1826.0,3.0,130.0,3.0
6299,8th Phase JP Nagar,1035.0,2.0,39.33,2.0
6300,Sarjapur  Road,2600.0,4.0,98.0,4.0
6301,Kasavanhalli,1667.0,3.0,92.0,3.0
6302,Thanisandra,934.0,2.0,55.0,2.0
6304,Mahadevpura,1620.0,2.0,76.0,3.0
6305,Electronic City,1070.0,2.0,47.0,2.0
6306,Hosur Road,3600.0,5.0,180.0,5.0
6307,Uttarahalli,1280.0,2.0,60.0,3.0
6308,other,1400.0,2.0,60.0,2.0
6310,other,1330.0,2.0,64.0,2.0
6311,Balagere,1012.0,2.0,54.59,2.0
6312,Electronic City Phase II,1611.0,2.0,48.33,3.0
6313,Whitefield,1405.0,3.0,58.0,3.0
6314,other,1515.0,3.0,90.0,3.0
6315,Thigalarapalya,1830.0,4.0,150.0,3.0
6316,Kaggadasapura,1710.0,3.0,60.0,3.0
6317,BTM Layout,935.0,2.0,51.5,2.0
6318,Jakkur,2197.0,3.0,136.0,3.0
6320,Yeshwanthpur,1678.0,3.0,92.13,3.0
6321,Brookefield,1410.0,2.0,80.0,3.0
6322,Jakkur,1125.0,2.0,65.0,2.0
6323,Magadi Road,1191.0,2.0,55.38,3.0
6324,Thubarahalli,1200.0,2.0,79.0,2.0
6325,CV Raman Nagar,1525.0,2.0,67.0,3.0
6326,other,1464.0,3.0,56.0,3.0
6327,Seegehalli,920.0,2.0,27.0,2.0
6328,Yelahanka,651.0,1.0,17.5,1.0
6329,Chikkabanavar,600.0,1.0,25.0,2.0
6330,Chandapura,645.0,1.0,16.45,1.0
6331,Thanisandra,1185.0,2.0,44.0,2.0
6332,Electronics City Phase 1,1190.0,2.0,68.0,2.0
6334,Whitefield,2856.0,5.0,158.5,4.0
6335,Whitefield,1355.0,2.0,73.0,2.0
6336,KR Puram,1200.0,1.0,65.0,2.0
6337,Kundalahalli,7000.0,4.0,550.0,4.0
6339,Yelahanka New Town,500.0,2.0,24.0,1.0
6340,Bommasandra Industrial Area,1250.0,3.0,50.0,3.0
6341,Uttarahalli,1480.0,2.0,58.0,3.0
6342,Ambalipura,3300.0,4.0,329.0,4.0
6343,KR Puram,1583.0,2.0,70.445,3.0
6344,other,1206.0,2.0,53.0,2.0
6346,Hosakerehalli,925.0,2.0,46.5,2.0
6347,8th Phase JP Nagar,909.0,2.0,40.9,2.0
6349,Brookefield,1100.0,2.0,55.0,2.0
6351,Vidyaranyapura,1100.0,2.0,54.0,2.0
6352,Subramanyapura,975.0,2.0,65.0,2.0
6353,Raja Rajeshwari Nagar,1306.0,2.0,44.17,2.0
6354,other,1200.0,4.0,95.0,4.0
6355,Kalena Agrahara,610.0,1.0,39.0,1.0
6356,Yelahanka,1484.0,2.0,56.4,3.0
6357,Ramamurthy Nagar,1125.0,2.0,47.0,2.0
6358,Bhoganhalli,1447.0,2.0,75.97,2.0
6359,Whitefield,2882.0,5.0,158.0,4.0
6361,Kundalahalli,2075.0,3.0,115.0,3.0
6362,other,1250.0,2.0,58.0,2.0
6363,Horamavu Banaswadi,1272.0,2.0,51.5,2.0
6365,other,625.0,2.0,24.0,2.0
6366,1st Phase JP Nagar,840.0,2.0,50.0,1.0
6367,Hennur Road,2502.0,4.0,180.0,4.0
6368,Rayasandra,583.0,1.0,26.9,1.0
6369,other,900.0,2.0,27.0,2.0
6370,Sarjapur  Road,1115.0,2.0,50.0,2.0
6371,other,1464.0,2.0,56.0,2.0
6372,Kanakapura,2200.0,3.0,121.0,3.0
6373,Whitefield,750.0,1.0,51.0,1.0
6374,Marathahalli,1600.0,3.0,58.0,3.0
6375,Chikkalasandra,1365.0,2.0,49.0,3.0
6376,other,1300.0,3.0,64.0,3.0
6377,other,1200.0,1.0,69.0,1.0
6378,Hormavu,1260.0,2.0,35.0,2.0
6379,Electronics City Phase 1,1190.0,2.0,33.92,2.0
6381,Vishwapriya Layout,1250.0,3.0,38.0,3.0
6382,Kaggadasapura,1500.0,3.0,75.0,3.0
6383,Banashankari Stage V,1510.0,3.0,47.57,3.0
6384,7th Phase JP Nagar,1187.0,2.0,59.0,2.0
6385,Kundalahalli,1120.0,2.0,53.76,2.0
6386,Whitefield,1115.0,2.0,34.555,2.0
6387,other,1717.0,3.0,99.0,3.0
6388,other,2099.0,3.0,95.0,3.0
6389,Kasturi Nagar,1100.0,2.0,58.0,2.0
6390,other,1200.0,1.0,48.0,1.0
6391,Bannerghatta Road,1465.0,2.0,45.87,3.0
6392,Kothanur,1500.0,1.0,75.0,1.0
6394,Haralur Road,1255.0,2.0,90.0,3.0
6395,5th Phase JP Nagar,1220.0,2.0,88.0,2.0
6396,Electronic City Phase II,1065.0,2.0,30.88,2.0
6397,Sultan Palaya,1765.0,3.0,80.0,3.0
6398,Bellandur,1281.0,2.0,87.0,2.0
6399,Electronic City,1210.0,2.0,25.0,2.0
6400,Kaggadasapura,1215.0,2.0,43.0,2.0
6401,Ananth Nagar,1200.0,3.0,87.0,4.0
6402,Mysore Road,1237.0,2.0,73.0,2.0
6403,Lakshminarayana Pura,1300.0,2.0,70.0,2.0
6404,Whitefield,1105.0,2.0,39.99,2.0
6405,Chandapura,1505.0,2.0,42.0,3.0
6406,Hebbal Kempapura,3900.0,5.0,310.0,4.0
6407,Banashankari,1186.0,2.0,65.0,2.0
6409,Kengeri,750.0,2.0,35.5,2.0
6410,Varthur,1083.0,2.0,28.0,2.0
6411,other,1430.0,2.0,78.65,3.0
6412,Thanisandra,1056.0,2.0,68.0,2.0
6413,other,2108.0,3.0,85.0,3.0
6414,Banashankari,1650.0,3.0,101.0,3.0
6415,Electronic City Phase II,1220.0,3.0,36.6,3.0
6416,Rayasandra,1198.0,2.0,54.0,2.0
6417,other,1190.0,2.0,70.0,2.0
6418,other,900.0,2.0,41.0,2.0
6419,other,2690.0,4.0,185.0,4.0
6420,Kanakapura,1340.0,2.0,65.0,2.0
6424,Yelahanka,1260.0,2.0,59.2,2.0
6425,Talaghattapura,2254.0,3.0,153.0,3.0
6426,Old Madras Road,2990.0,5.0,210.0,3.0
6428,JP Nagar,820.0,2.0,45.0,2.0
6429,Electronic City,1296.0,2.0,65.0,2.0
6430,Uttarahalli,1190.0,2.0,53.55,2.0
6431,Whitefield,1173.0,2.0,77.0,2.0
6432,Sarjapura - Attibele Road,1800.0,3.0,90.0,3.0
6433,Yelahanka,1102.0,2.0,52.0,2.0
6434,Sarjapur,913.0,2.0,36.0,2.0
6435,Hormavu,1176.0,2.0,35.27,3.0
6436,Prithvi Layout,1620.0,3.0,65.0,3.0
6437,Billekahalli,2968.0,3.0,225.0,3.0
6438,Yelahanka,1519.0,2.0,65.0,2.0
6439,Hosur Road,1345.0,2.0,106.0,2.0
6440,other,1594.0,3.0,99.0,3.0
6441,other,1250.0,2.0,68.0,2.0
6442,Haralur Road,1056.0,2.0,60.0,2.0
6443,Whitefield,1200.0,3.0,68.4,3.0
6444,other,1290.0,1.0,77.5,2.0
6445,other,1150.0,2.0,48.0,2.0
6447,Anekal,1200.0,2.0,36.0,4.0
6448,Gollarapalya Hosahalli,861.0,2.0,36.5,2.0
6449,Kundalahalli,1047.0,2.0,82.62,2.0
6450,other,1200.0,2.0,75.0,2.0
6452,other,1065.0,2.0,45.0,2.0
6454,Ramamurthy Nagar,1000.0,2.0,62.0,2.0
6455,Lingadheeranahalli,1682.0,3.0,113.0,3.0
6456,Harlur,1756.0,3.0,131.0,3.0
6459,Vittasandra,1238.0,2.0,67.32,2.0
6460,Dasanapura,814.0,2.0,42.0,2.0
6461,Dodda Nekkundi,1145.0,2.0,46.5,2.0
6462,Varthur,965.0,2.0,34.0,2.0
6463,other,750.0,2.0,36.0,2.0
6464,Banashankari,1300.0,2.0,55.0,3.0
6465,1st Phase JP Nagar,1590.0,3.0,131.0,3.0
6466,Begur Road,644.0,1.0,40.0,1.0
6467,Whitefield,982.0,2.0,37.0,2.0
6468,Indira Nagar,1260.0,2.0,100.0,2.0
6469,Rayasandra,1555.0,3.0,75.17,3.0
6471,Kaggadasapura,1225.0,2.0,48.0,2.0
6472,Electronics City Phase 1,1085.0,2.0,46.0,2.0
6474,Thanisandra,1595.0,3.0,110.0,3.0
6475,Raja Rajeshwari Nagar,1196.0,2.0,40.44,2.0
6476,Yelahanka,1859.0,3.0,108.0,3.0
6477,9th Phase JP Nagar,1079.0,2.0,60.0,2.0
6479,Whitefield,1118.0,2.0,42.0,2.0
6480,CV Raman Nagar,1198.0,2.0,60.0,2.0
6481,Chandapura,1162.5,2.0,30.215,3.0
6482,Thigalarapalya,1830.0,4.0,135.0,3.0
6483,Banashankari Stage VI,1160.0,2.0,59.0,2.0
6485,other,2070.0,3.0,135.0,3.0
6487,Kannamangala,957.0,2.0,52.5,2.0
6489,Bannerghatta Road,1268.0,2.0,69.0,2.0
6490,Bannerghatta Road,1450.0,2.0,87.0,3.0
6491,other,1600.0,2.0,75.0,3.0
6492,Uttarahalli,1330.0,2.0,57.0,3.0
6493,Jakkur,1355.0,2.0,65.0,3.0
6494,Horamavu Banaswadi,1272.0,2.0,51.5,2.0
6495,other,1100.0,2.0,38.49,2.0
6496,Sarjapur  Road,1220.0,3.0,58.0,3.0
6497,Chikkalasandra,1075.0,2.0,46.76,2.0
6498,other,800.0,2.0,55.0,2.0
6499,Vasanthapura,995.0,2.0,34.82,2.0
6500,other,900.0,1.0,44.0,2.0
6501,Haralur Road,1140.0,2.0,42.0,2.0
6502,other,1480.0,2.0,125.0,3.0
6503,Padmanabhanagar,1710.0,2.0,90.63,3.0
6504,Talaghattapura,2106.0,3.0,148.0,3.0
6506,other,3800.0,2.0,130.0,3.0
6508,Marathahalli,1602.0,2.0,104.0,2.0
6509,Sarjapur  Road,1660.0,2.0,116.0,3.0
6510,Electronic City Phase II,1549.0,3.0,80.0,3.0
6511,Marathahalli,700.0,1.0,38.0,1.0
6512,Balagere,1012.0,2.0,64.0,2.0
6513,Marathahalli,1469.0,3.0,89.0,3.0
6514,Whitefield,1216.0,2.0,69.0,2.0
6515,Electronic City Phase II,1065.0,2.0,56.13,2.0
6516,Thanisandra,1411.0,3.0,93.15,3.0
6517,Pai Layout,1400.0,2.0,57.5,2.0
6518,Hoskote,1250.0,3.0,29.0,3.0
6519,Haralur Road,1245.0,2.0,62.0,2.0
6520,Choodasandra,1115.0,2.0,50.0,2.0
6521,Vidyaranyapura,1000.0,2.0,35.0,2.0
6522,Panathur,1580.0,3.0,71.89,3.0
6523,Subramanyapura,1800.0,3.0,90.0,3.0
6525,Chandapura,645.0,1.0,16.45,1.0
6526,Kothannur,1275.0,3.0,44.0,3.0
6527,Kasavanhalli,1494.0,3.0,82.0,3.0
6528,Bhoganhalli,1949.0,3.0,129.0,3.0
6529,BTM Layout,1020.0,2.0,46.5,2.0
6530,Mysore Road,883.0,2.0,45.0,2.0
6531,Old Airport Road,3200.0,4.0,280.0,4.0
6534,other,2010.0,3.0,125.0,3.0
6535,Yeshwanthpur,1240.0,2.0,80.0,2.0
6536,6th Phase JP Nagar,1213.0,2.0,63.0,2.0
6537,Hegde Nagar,1835.0,3.0,88.0,3.0
6539,Bannerghatta Road,2932.0,5.0,195.0,4.0
6540,Whitefield,3425.0,5.0,250.0,4.0
6541,Gottigere,945.0,2.0,45.0,2.0
6542,other,1504.0,2.0,100.0,3.0
6543,Lakshminarayana Pura,1569.0,3.0,150.0,3.0
6544,Harlur,1755.0,3.0,130.0,3.0
6545,Vijayanagar,1760.0,3.0,140.0,3.0
6546,Hoodi,1240.0,2.0,43.94,2.0
6547,Electronics City Phase 1,1450.0,3.0,72.54,3.0
6548,5th Phase JP Nagar,1000.0,2.0,48.0,2.0
6549,Shivaji Nagar,3820.0,1.0,306.0,1.0
6550,Thyagaraja Nagar,2000.0,4.0,145.0,5.0
6551,Choodasandra,1215.0,2.0,59.0,2.0
6553,Yelachenahalli,1330.0,3.0,73.5,3.0
6554,Raja Rajeshwari Nagar,1178.0,2.0,75.0,2.0
6556,other,2040.0,2.0,59.0,2.0
6557,Bellandur,2000.0,3.0,85.0,3.0
6559,other,1200.0,4.0,130.0,4.0
6560,Parappana Agrahara,1194.0,2.0,46.0,2.0
6562,Dasarahalli,2400.0,2.0,152.0,3.0
6563,Sarjapur  Road,1700.0,3.0,108.0,3.0
6564,Jigani,1200.0,3.0,65.0,3.0
6565,other,1500.0,3.0,72.0,3.0
6568,Kanakpura Road,1737.0,3.0,85.0,3.0
6569,TC Palaya,900.0,2.0,55.0,2.0
6570,other,1280.0,2.0,48.0,3.0
6571,CV Raman Nagar,1560.0,2.0,85.0,2.0
6572,Kambipura,883.0,2.0,44.0,2.0
6573,Kengeri Satellite Town,750.0,2.0,33.0,2.0
6574,Brookefield,2400.0,3.0,140.0,4.0
6575,other,900.0,2.0,45.0,2.0
6576,Hormavu,1030.0,2.0,49.35,2.0
6577,7th Phase JP Nagar,1850.0,3.0,155.0,3.0
6578,Hennur Road,1831.0,3.0,110.0,3.0
6579,other,1095.0,2.0,38.33,2.0
6580,Electronic City Phase II,1320.0,2.0,38.13,3.0
6581,Sarjapur  Road,1272.5,2.0,40.72,3.0
6582,7th Phase JP Nagar,1000.0,2.0,61.0,2.0
6583,Budigere,1820.0,3.0,85.4,3.0
6584,Bisuvanahalli,1075.0,2.0,41.0,3.0
6585,TC Palaya,1500.0,3.0,83.0,3.0
6586,Electronics City Phase 1,360.0,1.0,16.9,1.0
6587,Kadugodi,925.0,1.0,40.7,1.0
6588,Electronic City,1140.0,2.0,70.93,2.0
6589,other,1145.0,2.0,58.4,2.0
6590,other,1862.0,3.0,120.0,3.0
6591,Devarachikkanahalli,947.0,2.0,43.0,2.0
6594,Kalena Agrahara,1120.0,2.0,40.0,2.0
6595,other,2700.0,3.0,200.0,3.0
6596,Kaggadasapura,1805.0,2.0,75.0,3.0
6598,Bommenahalli,1355.0,3.0,135.0,4.0
6599,other,1677.0,3.0,98.0,3.0
6600,other,2500.0,8.0,95.0,8.0
6601,Uttarahalli,1560.0,3.0,74.0,3.0
6602,Arekere,2060.0,3.0,150.0,3.0
6603,Koramangala,1716.0,2.0,115.0,3.0
6604,Harlur,1864.0,3.0,140.0,3.0
6605,Electronics City Phase 1,638.0,1.0,32.0,1.0
6608,Chandapura,937.0,2.0,30.0,2.0
6609,other,1490.0,2.0,115.0,3.0
6610,Frazer Town,4856.0,5.0,410.0,4.0
6612,Whitefield,1100.0,2.0,37.0,2.0
6613,Thigalarapalya,1000.0,2.0,48.53,2.0
6614,Horamavu Agara,1060.0,2.0,37.0,2.0
6616,Basaveshwara Nagar,1200.0,2.0,80.0,2.0
6617,Akshaya Nagar,1420.0,2.0,75.0,3.0
6618,Sarjapur  Road,1539.0,3.0,85.0,3.0
6619,other,1550.0,3.0,59.0,3.0
6620,Kasavanhalli,1555.0,3.0,82.0,3.0
6622,Seegehalli,1553.0,3.0,68.0,3.0
6623,Electronic City Phase II,920.0,2.0,26.0,2.0
6624,other,1740.0,3.0,120.0,3.0
6625,OMBR Layout,1855.0,3.0,145.0,3.0
6626,Kundalahalli,1724.0,3.0,146.0,3.0
6627,other,1020.0,2.0,60.0,2.0
6629,Uttarahalli,1250.0,2.0,50.0,3.0
6630,Sanjay nagar,1450.0,3.0,75.0,3.0
6631,Thubarahalli,1200.0,2.0,80.0,2.0
6632,Haralur Road,1140.0,2.0,58.0,2.0
6634,other,550.0,1.0,16.0,1.0
6635,Bannerghatta Road,1450.0,3.0,44.0,3.0
6637,Kanakpura Road,700.0,2.0,35.07,2.0
6638,Whitefield,1200.0,3.0,56.0,3.0
6639,Yelahanka,1050.0,2.0,45.0,2.0
6640,Somasundara Palya,1600.0,3.0,69.0,3.0
6641,Bannerghatta Road,1625.0,2.0,75.0,3.0
6642,other,1492.0,2.0,65.0,2.0
6643,Whitefield,2856.0,5.0,157.5,4.0
6644,Sarjapur  Road,1489.0,2.0,82.0,3.0
6645,Kanakapura,1560.0,2.0,62.38,3.0
6646,Haralur Road,1140.0,2.0,42.0,2.0
6647,other,1431.0,3.0,65.0,3.0
6648,Lingadheeranahalli,1682.0,3.0,114.0,3.0
6649,Panathur,1198.0,2.0,86.26,2.0
6650,other,3664.0,3.0,325.0,3.0
6651,Sarjapur  Road,1550.0,2.0,69.75,3.0
6652,Kodichikkanahalli,1026.0,2.0,45.0,2.0
6653,Hennur,1260.0,2.0,52.0,3.0
6654,other,690.0,2.0,42.0,2.0
6655,Sarjapur  Road,539.0,1.0,45.0,1.0
6656,Sarakki Nagar,1200.0,4.0,85.0,4.0
6657,Attibele,2400.0,3.0,120.0,3.0
6658,Thubarahalli,1200.0,2.0,79.55,2.0
6660,Sarjapur  Road,1186.0,2.0,40.0,3.0
6661,Thanisandra,1039.0,2.0,39.5,2.0
6663,Gottigere,1500.0,4.0,100.0,5.0
6664,Malleshwaram,2520.0,3.0,150.0,3.0
6665,Brookefield,1225.0,2.0,66.5,2.0
6666,Bommanahalli,1350.0,2.0,72.0,2.0
